fid_1,final_yield
0,32.032959
1,42.0138206
2,42.9853592
3,48.8987389
4,52.1662483
5,56.6754494
6,50.8319206
7,55.7071686
8,56.0340385
9,59.1860809
10,55.6623917
11,53.9323196
12,57.6972809
13,47.1883507
14,50.9538383
15,60.2045784
16,59.865509
17,62.5448418
18,48.9632187
19,56.6857491
20,60.1681786
21,55.60532
22,51.2513618
23,48.1781998
24,55.100399
25,57.1726608
26,54.9956512
27,56.2387619
28,61.5336304
29,62.9151802
30,55.5444107
31,45.7058182
32,52.7778702
33,57.9235611
34,51.7141495
35,51.0004196
36,49.5639801
37,45.791481
38,49.8253098
39,57.3883896
40,53.5169106
41,54.1515312
42,50.4721298
43,52.1518784
44,52.4527206
45,50.6791801
46,43.6899796
47,47.944519
48,39.2504997
49,40.4496994
50,46.728199
51,50.1865082
52,52.1702499
53,50.8215408
54,50.6131401
55,48.4787598
56,49.4034309
57,47.4299202
58,50.5843201
59,46.2156715
60,49.9178314
61,45.314579
62,47.6179199
63,43.3066483
64,47.6040497
65,45.7623215
66,44.6065788
67,49.3362617
68,48.2637291
69,40.7975311
70,40.947319
71,45.3495102
72,48.8765907
73,46.6901894
74,48.0156288
75,50.7832298
76,53.6212616
77,51.1113205
78,52.4604301
79,52.303669
80,49.8956108
81,52.5150299
82,49.9751396
83,48.3080406
84,51.4191017
85,43.4492111
86,45.9861603
87,45.4967308
88,48.7348213
89,52.0880203
90,52.9859695
91,50.7321091
92,49.9095993
93,49.7671089
94,50.7516899
95,50.5005188
96,47.5209808
97,45.763401
98,45.3802185
99,41.9976196
100,44.9665489
101,46.1823997
102,48.61483
103,45.6776314
104,44.9957314
105,41.1614189
106,30.2252007
107,24.2011395
108,38.6137619
110,46.9654007
111,50.7393684
112,45.7138481
113,49.1185608
114,56.2660789
115,54.9989815
116,41.90345
117,60.3189507
118,51.3316307
119,47.3461189
120,47.5294418
121,42.6266899
122,48.022789
123,53.8494301
124,53.5524292
125,58.8408813
126,45.6228485
127,53.8035316
128,48.3762283
129,52.1340103
130,62.8983612
131,57.5832405
132,55.6612892
133,52.9032211
134,59.4694405
135,60.3598785
136,59.8250504
137,57.9181099
138,55.931839
139,55.1222382
140,58.5725403
141,53.734951
142,53.8487892
143,51.0905304
144,50.5713882
145,53.4731903
146,53.6329803
147,44.1827812
148,54.4261398
149,48.0693893
150,54.2648201
151,49.4295883
152,49.838501
153,49.9188919
154,45.3274117
155,47.5731583
156,37.6281204
157,51.9106216
158,51.8057594
159,53.2134819
160,52.6771812
161,50.8217697
162,44.7041206
163,48.8324089
164,47.6358299
165,47.7052193
166,45.5449104
167,51.1978912
168,43.3924904
169,46.8422203
170,46.0754204
171,41.0332184
172,44.8037109
173,46.2924614
174,50.7303696
175,45.7537003
176,47.0974617
177,40.7856407
178,41.4548683
179,42.2079391
180,46.8628502
181,50.7601013
182,56.7868614
183,53.2607613
184,51.5474586
185,50.7164001
186,45.9057617
187,50.7500381
188,49.8241692
189,52.1688385
